date_time_(UTC),channel,duration,https://archive.org/details/,text
2024-02-29 00:10:00,BBCNEWS,29,BBCNEWS_20240229_000000_Newsday/start/600,Navalny's wife says he was 'tortured and murdered'\nHong Kong moves towards tougher security law\nYulia Navalny addressed European Parliament
2024-02-29 00:10:00,FOXNEWSW,44,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/600,» PAUL MAURO | FORMER NYPD INSPECTOR\nRINENI \\AI(\\M'T CAV I Al(l:kl DII l:V'C NIAAAL
2024-02-29 00:10:00,MSNBCW,54,MSNBCW_20240229_000000_The_ReidOut/start/600,"| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22\nPRESIDENT, LEADERSHIP CONF.. ON CIVIL AND HUMAN RIGHTS"
2024-02-29 00:11:00,BBCNEWS,59,BBCNEWS_20240229_000000_Newsday/start/660,Hong Kong moves towards tougher security law\nFormer Hong Kong Legislator & Activist. [O NEWS
2024-02-29 00:11:00,CNNW,34,CNNW_20240229_000000_Erin_Burnett_OutFront/start/660,SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Karen Friedman Agnifilo | Worked with Special Counsel Jack Smith\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Karen Friedman Agnifilo | ©@WN Legal Analyst
2024-02-29 00:11:00,FOXNEWSW,42,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/660,A I |. ' BIDEN WON'T SAY LAKEN RILEY'S NAME\n» PAUL MAURO | FORMER NYPD INSPECTOR
2024-02-29 00:11:00,MSNBCW,54,MSNBCW_20240229_000000_The_ReidOut/start/660,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22\nFMR. ASST. U.S. ATTORNEY
2024-02-29 00:12:00,BBCNEWS,55,BBCNEWS_20240229_000000_Newsday/start/720,Hong Kong moves towards tougher security law
2024-02-29 00:12:00,CNNW,18,CNNW_20240229_000000_Erin_Burnett_OutFront/start/720,"SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. Karen Friedman Agnifilo | Fmr. Chief Assistant District Attorney, Manhattan DA's Office\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Karen Friedman Agnifilo | Worked with Special Counsel Jack Smith\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Karen Friedman Agnifilo | Fmr. Prosecutor; Criminal Defense Attorney\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Karen Friedman Agnifilo | ©@WN Legal Analyst"
2024-02-29 00:12:00,FOXNEWSW,21,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/720,» PAUL MAURO | FOX NEWS CONTRIBUTOR\n' BIDEN WON'T SAY LAKEN RILEY'S NAME
2024-02-29 00:12:00,MSNBCW,39,MSNBCW_20240229_000000_The_ReidOut/start/720,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE\n| SCOTUS REWARDS TRUMP'S DELAY TACTICS. IN TAKING APPEAL OF HIS IMMUNITY LOSS
2024-02-29 00:13:00,CNNW,40,CNNW_20240229_000000_Erin_Burnett_OutFront/start/780,SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Karen Friedman Agnifilo | Worked with Special Counsel Jack Smith\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Karen Friedman Agnifilo | ©@WN Legal Analyst
2024-02-29 00:13:00,MSNBCW,41,MSNBCW_20240229_000000_The_ReidOut/start/780,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL\n| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE
2024-02-29 00:14:00,BBCNEWS,26,BBCNEWS_20240229_000000_Newsday/start/840,Hong Kong moves towards tougher security law\nPolice Scotland: Victims 'let down'\nTain Packer jailed for life for murder
2024-02-29 00:14:00,CNNW,44,CNNW_20240229_000000_Erin_Burnett_OutFront/start/840,"SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Basil Smikle | Former Executive Director, New York State Democratic Party\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Basil Smikle | Democratic Strategist\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM"
2024-02-29 00:14:00,MSNBCW,57,MSNBCW_20240229_000000_The_ReidOut/start/840,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL
2024-02-29 00:15:00,BBCNEWS,46,BBCNEWS_20240229_000000_Newsday/start/900,Man found guilty of Emma Caldwell’s murder
2024-02-29 00:15:00,CNNW,41,CNNW_20240229_000000_Erin_Burnett_OutFront/start/900,SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM
2024-02-29 00:16:00,BBCNEWS,35,BBCNEWS_20240229_000000_Newsday/start/960,Police Scotland: Victims 'let down'\nMan found guilty of Emma Caldwell’s murder
2024-02-29 00:16:00,MSNBCW,45,MSNBCW_20240229_000000_The_ReidOut/start/960,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL\nSzMSNBC. MELISSA MURRAY Iyesyngr i
2024-02-29 00:17:00,BBCNEWS,30,BBCNEWS_20240229_000000_Newsday/start/1020,Police Scotland: Victims 'let down'\nFrench coastguard: one dead after Channel incident\nMan found guilty of Emma Caldwell’s murder\n[O NEWS NEWSDAY
2024-02-29 00:17:00,MSNBCW,62,MSNBCW_20240229_000000_The_ReidOut/start/1020,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22
2024-02-29 00:18:00,BBCNEWS,40,BBCNEWS_20240229_000000_Newsday/start/1080,Power station burning rare wood\nFrench coastguard: one dead after Channel incident\nNEWSDAY
2024-02-29 00:18:00,CNNW,7,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1080,CIRQUEDUSOLEIL.COM/KOOZA\nFederally insured by NCU
2024-02-29 00:18:00,FOXNEWSW,19,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/1080,D ©. 'HUNTER QUESTIONED IN CLOSED-DOOR DEPOSITION §\nDEM HUNTER SPIN AT FULL SPEED AFTER CLOSED HEARING [ el
2024-02-29 00:18:00,MSNBCW,41,MSNBCW_20240229_000000_The_ReidOut/start/1080,SCOTUS REWARDS TRUMP'S DELAY TACTICS. IN TAKING APPEAL OF HIS IMMUNITY LOSS\n| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22\nGEORGETOWN UNIVERSITY. PAUL BUTLER LAW PROFESSOR
2024-02-29 00:19:00,BBCNEWS,52,BBCNEWS_20240229_000000_Newsday/start/1140,Red Bull F1 boss Christian Horner cleared
2024-02-29 00:19:00,CNNW,44,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1140,"IL JUDGE REMOVES TRUMP FROM BALLOT DUE TO \""INSURRECTIONIST BAN\""\nIL JUDGE REMOVES TRUMP FROM BALLOT DUE TO \""INSURRECTIONIST BAN\"". . Katelyn Polantz @W Senior Crime and Justice Reporter"
2024-02-29 00:19:00,FOXNEWSW,11,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/1140,'HUNTER ADMITS HE SENT THE WHATSAPP MESSAGE ([ di ol
2024-02-29 00:19:00,MSNBCW,45,MSNBCW_20240229_000000_The_ReidOut/start/1140,"| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL\nSCOTUS REWARDS TRUMP'S DELAY TACTICS. __J IN TAKING APPEAL OF HIS IMMUNITY LOSS\nPRESIDENT, LEADERSHIP CONF.. ON CIVIL AND HUMAN RIGHTS"
2024-02-29 00:20:00,BBCNEWS,31,BBCNEWS_20240229_000000_Newsday/start/1200,Red Bull held an inquiry over claims\nRed Bull F1 boss Christian Horner cleared\n.. [IEE NEWS NEWSDAY. . &
2024-02-29 00:20:00,MSNBCW,58,MSNBCW_20240229_000000_The_ReidOut/start/1200,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL
2024-02-29 00:21:00,BBCNEWS,16,BBCNEWS_20240229_000000_Newsday/start/1260,Red Bull F1 boss Christian Horner cleared
2024-02-29 00:21:00,CNNW,62,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1260,"IL JUDGE REMOVES TRUMP FROM BALLOT DUE TO \""INSURRECTIONIST BAN\"
2024-02-29 00:21:00,FOXNEWSW,15,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/1260,L. SOURCE: HUNTER SAYS HE WAS HIGH OR DRUNK. | WHEN HE SENT INFAMOUS WHATSAPP MESSAGE\n» REP BYRON DONALDS (R-FL) | HOUSE OVERSIGHT COMMITTEE. . SOURCE: HUNTER SAYS HE WAS HIGH OR DRUNK
2024-02-29 00:21:00,MSNBCW,5,MSNBCW_20240229_000000_The_ReidOut/start/1260,"GLP-1medications may have serious side effects. Do not use if you or your family have a history of a type. called MTC or MEN 2. In rodents, they cause thyroid C-cell tumors and their impact in humans is unknowr. Safety Information, including Boxed Warning, at ro.co/safety-info/glpl.\nBased on studies of branded GLP-1medications in non-diabetics with BMI 23O, or BMI 227 with at least one w. when paired with diet and exercise, compared to 2.4-3.1% with diet and exercise alone. Supplies of certain me"
2024-02-29 00:22:00,BBCNEWS,58,BBCNEWS_20240229_000000_Newsday/start/1320,Curb Your Enthusiasm star dies
2024-02-29 00:22:00,FOXNEWSW,12,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/1320,'HUNTER'S 'TEXTING WHILE HIGH' EXCUSE
2024-02-29 00:22:00,MSNBCW,5,MSNBCW_20240229_000000_The_ReidOut/start/1320,ReputationDefender.com 1.877.86¢
2024-02-29 00:23:00,BBCNEWS,74,BBCNEWS_20240229_000000_Newsday/start/1380,Behind the Moon's historic touchdown
2024-02-29 00:23:00,CNNW,33,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1380,"IL JUDGE REMOVES TRUMP FROM BALLOT DUE TO \""INSURRECTIONIST BAN\"". . Rep. Eric Swalwell | (D) Judiciary Committee; Attended Hunter Biden Deposition\nIL JUDGE REMOVES TRUMP FROM BALLOT DUE TO \""INSURRECTIONIST BAN\"". . Rep. Eric Swalwell | (D) California\nIL JUDGE REMOVES TRUMP FROM BALLOT DUE TO \""INSURRECTIONIST BAN\"
2024-02-29 00:23:00,MSNBCW,3,MSNBCW_20240229_000000_The_ReidOut/start/1380,CALL YOUR TRAVEL ADVISOR. SANDALS.COM | 1-8OO-SANDALS
2024-02-29 00:24:00,CNNW,33,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1440,"IL JUDGE REMOVES TRUMP FROM BALLOT DUE TO \""INSURRECTIONIST BAN\""\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Rep. Eric Swalwell | (D) Judiciary Committee; Attended Hunter Biden Deposition"
2024-02-29 00:25:00,BBCNEWS,18,BBCNEWS_20240229_000000_Newsday/start/1500,Norway's 8O-year old mystery
2024-02-29 00:25:00,CNNW,34,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1500,SUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM. . Rep. Eric Swalwell | (D) Judiciary Committee; Attended Hunter Biden Deposition\nHUNTER BIDEN TESTIFIES FOR 6+ HOURS DESPITE IMPEACHEMENT CASE\nSUPREME COURT AGREES TO HEAR TRUMP'S IMMUNITY CLAIM
2024-02-29 00:25:00,FOXNEWSW,21,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/1500,SUPREME COURT TO HEAR TRUMP IMMUNITY CASE |iratiied
2024-02-29 00:25:00,MSNBCW,17,MSNBCW_20240229_000000_The_ReidOut/start/1500,. | SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. | DECISION FURTHER DELAYS JAN. 6 TRIAL\n| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL
2024-02-29 00:26:00,CNNW,34,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1560,HUNTER BIDEN TESTIFIES FOR 6+ HOURS DESPITE IMPEACHEMENT CASE\nHUNTER BIDEN TESTIFIES FOR 6+ HOURS AS GOP CASE FALLS APART
2024-02-29 00:26:00,MSNBCW,53,MSNBCW_20240229_000000_The_ReidOut/start/1560,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL
2024-02-29 00:27:00,CNNW,13,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1620,OUTT I’. . ’
2024-02-29 00:28:00,MSNBCW,45,MSNBCW_20240229_000000_The_ReidOut/start/1680,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22\nREP. JAMIE RASKIN [OIVAR{TAY
2024-02-29 00:29:00,FOXNEWSW,8,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/1740,Visiting Angels. 866-492-6435
2024-02-29 00:29:00,MSNBCW,35,MSNBCW_20240229_000000_The_ReidOut/start/1740,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22\n| LLINOIS JUDGE REMOVES TRUMP FROM PRIMARY BALLOT
2024-02-29 00:30:00,CNNW,3,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1800,Based on the range of maximum active coolir in independent microclimates on the Climateeéo'.l
2024-02-29 00:30:00,MSNBCW,45,MSNBCW_20240229_000000_The_ReidOut/start/1800,| LLINOIS JUDGE REMOVES TRUMP FROM PRIMARY BALLOT\n(D-MD) FMR. JAN. 6 SELECT. REP. JAMIE RASKIN COMMITTEE MEMBER
2024-02-29 00:31:00,CNNW,24,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1860,"TRUMP MUST COME UP WITH FULL $454M FRAUD JUDGMENT AFTER HIS. ATTYS OFFERED TO POST $1OOM, SAYING FULL AMOUNT IS \""IMPOSSIBLE\""\n1-8OO-4-BIKERS"
2024-02-29 00:31:00,MSNBCW,26,MSNBCW_20240229_000000_The_ReidOut/start/1860,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. DECISION FURTHER DELAYS JAN. 6 TRIAL\n| LLINOIS JUDGE REMOVES TRUMP FROM PRIMARY BALLOT\nREP. JAMIE RASKIN [RaNGaAn\n| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22
2024-02-29 00:32:00,CNNW,46,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1920,"TRUMP MUST COME UP WITH FULL $454M FRAUD JUDGMENT AFTER HIS. ATTYS OFFERED TO POST $1OOM, SAYING FULL AMOUNT IS \""IMPOSSIBLE\""\nTRUMP'S ATTYS ADMIT HE DOESN'T HAVE FULL $454M: \""IMPOSSIBLE\"". Harry Sandick | Fmr. Assistant U.S. Attorney, Southern District of New York"
2024-02-29 00:32:00,MSNBCW,62,MSNBCW_20240229_000000_The_ReidOut/start/1920,| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22
2024-02-29 00:33:00,BBCNEWS,39,BBCNEWS_20240229_003000_Asia_Business_Report/start/180,Luxury and high end goods sales have driven growth. (O8 NEWS\nGDP projected to grbw 6tO6.8% during the latest quarter. (O8 NEWS
2024-02-29 00:33:00,CNNW,43,CNNW_20240229_000000_Erin_Burnett_OutFront/start/1980,"TRUMP MUST COME UP WITH FULL $454M FRAUD JUDGMENT AFTER HIS. ATTYS OFFERED TO POST $1OOM, SAYING FULL AMOUNT IS \""IMPOSSIBLE\""\nTRUMP ORDERED TO COME UP WITH FULL $454 MILLION FRAUD JUDGMENT\nTRUMP ORDERED TO COME UP WITH FULL $454 MILLION FRAUD JUDGMENT. . Jonathan Greenberg | Investigative Journalist, Washington Post"
2024-02-29 00:33:00,FOXNEWSW,35,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/1980,"THE DEADLY COST OF BIDEN'S OPEN BORDER\n'THE DEADLY COST OF BIDEN'S OPEN BORDER [l |\nD LY. JKELLY GIRTZ (D), e &"
2024-02-29 00:33:00,MSNBCW,23,MSNBCW_20240229_000000_The_ReidOut/start/1980,. MCCONNELL STEPPING DOWN AS SENATE LEADER IN NOVEMBER\n| SUPREME COURT TO HEAR TRUMP IMMUNITY CASE. ORAL ARGUMENTS SET FOR WEEK OF APRIL 22
2024-02-29 00:34:00,BBCNEWS,26,BBCNEWS_20240229_003000_Asia_Business_Report/start/240,Industry giaﬁts Baiduand Netease report earnings. (O8 NEWS\nSouth Asian countr}; is the world's fastest growing economy. (O8 NEWS\nLuxury and high end goods sales have driven growth. (O8 NEWS
2024-02-29 00:34:00,CNNW,22,CNNW_20240229_000000_Erin_Burnett_OutFront/start/2040,"TRUMP'S ATTYS ADMIT HE DOESN'T HAVE FULL $454M: \""IMPOSSIBLE\"". . Jonathan Greenberg | Investigative Journalist, Washington Post\nTRUMP ORDERED TO COME UP WITH FULL $454 MILLION FRAUD JUDGMENT. . Jonathan Greenberg | Investigative Journalist, Washington Post\nTRUMP ORDERED TO COME UP WITH FULL $454 MILLION FRAUD JUDGMENT\nTRUMP'S ATTYS ADMIT HE DOESN'T HAVE FULL $454M: \""IMPOSSIBLE\"
2024-02-29 00:34:00,FOXNEWSW,28,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/2040,L T. THE DEADLY COST OF BIDEN'S OPEN BORDER [ il {\nTHE DEADLY COST OF BIDEN'S OPEN BORDER
2024-02-29 00:35:00,BBCNEWS,12,BBCNEWS_20240229_003000_Asia_Business_Report/start/300,"Senior Consultant, Counterpoint Research. (O8 NEWS\nIndustry giaﬁts Baiduand Netease report earnings. (O8 NEWS\nIndustry giaﬁts Baidu and Netease report earnings. (O8 NEWS\nBaidu chatbot 'Ernie' dominates market in China. (O8 NEWS\nNetease gen_erates-Al avatars used in gaming. (O8 NEWS\nChinese and US cor-npanies are rivals in the Al race. (O8 NEWS"
2024-02-29 00:35:00,CNNW,34,CNNW_20240229_000000_Erin_Burnett_OutFront/start/2100,"TRUMP'S ATTYS ADMIT HE DOESN'T HAVE FULL $454M: \""IMPOSSIBLE\"". . Harry Sandick | Fmr. Assistant U.S. Attorney, Southern District of New York\nTRUMP'S ATTYS ADMIT HE DOESN'T HAVE FULL $454M: \""IMPOSSIBLE\"
2024-02-29 00:35:00,FOXNEWSW,18,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/2100,» TOM HOMAN | FORMER ACTING ICE DIRECTOR THE. . BLOOD ON THEIR HANDS\nTHE DEADLY COST OF BIDEN'S OPEN BORDER [\n. BLOOD ON THEIR HANDS. DEMOCRATS COMPLICIT IN ILLEGALS KILLING AMERICANS
2024-02-29 00:35:00,MSNBCW,20,MSNBCW_20240229_000000_The_ReidOut/start/2100,NAG (8OO) 721-\nNAAG. = (8OO) 721-. . Retire B\n(8OO) 721-
2024-02-29 00:36:00,BBCNEWS,17,BBCNEWS_20240229_003000_Asia_Business_Report/start/360,Chinese and US corﬁpanies are rivals in the Al race. (O8 NEWS\nIndustry giaﬁts Baiduand Netease report earnings. (O8 NEWS\nBaidu chatbot 'Ernie' dominates market in China. (O8 NEWS\nNetease gen-eratestI avatars used in gaming. (O8 NEWS\nTata spending millions of dollar to reinvent airline. (O8 NEWS
2024-02-29 00:36:00,CNNW,49,CNNW_20240229_000000_Erin_Burnett_OutFront/start/2160,"TRUMP'S ATTYS ADMIT HE DOESN'T HAVE FULL $454M: \""IMPOSSIBLE\""\nTRUMP'S ATTYS ADMIT HE DOESN'T HAVE FULL $454M: \""IMPOSSIBLE\"". . Harry Sandick | Fmr. Assistant U.S. Attorney, Southern District of New York"
2024-02-29 00:36:00,FOXNEWSW,13,FOXNEWSW_20240229_000000_The_Ingraham_Angle/start/2160,» TOM HOMAN | FORMER ACTING ICE DIRECTOR THE. . BLOOD ON THEIR HANDS
2024-02-29 00:36:00,MSNBCW,5,MSNBCW_20240229_000000_The_ReidOut/start/2160,"GLP-1medications may have serious side effects. Do not use if you or your family have a history of a type. called MTC or MEN 2. In rodents, they cause thyroid C-cell tumors and their impact in humans is unknowr. Safety Information, including Boxed Warning, at ro.co/safety-info/glpl.\nBased on studies of branded GLP-1medications in non-diabetics with BMI 23O, or BMI 227 with at least one w. when paired with diet and exercise, compared to 2.4-3.1% with diet and exercise alone. Supplies of certain me\nNot available in all states. Monthly subscription required. Costs exclude lab testing and medication. R. provide medical services, but connects you with an independent, licensed healthcare professional. prescribe medication if right for you. Additional terms apply. Visit ro.co for..."
2024-02-29 00:37:00,BBCNEWS,24,BBCNEWS_20240229_003000_Asia_Business_Report/start/420,"Tata spending millions of dollar to reinvent airline. (O8 NEWS\nAirline confident of India's rise as an aviation superpower. (O8 NEWS\nChief E-xecutive, Air India. (O8 NEWS\n16Om international air travellers expected annually by 2O3O. (O8 NEWS"
